4.6,-0.8,9.1,2,6.7,4.6,2.8,-1.2,29,68.1,12,1.7,-2.7,480
0.4,-4.2,6.1,0.001,6.6,4.2,1.8,-8.4,30,55.3,12.1,2.9,-4.7,480
0.9,-5,7.1,0.001,7.3,4.1,1.7,-13.1,17,36.3,12.1,2.6,-7.1,480
2.8,-5.1,10.4,0.001,8.5,4.7,1.9,-12.5,15,34.9,12.2,2.9,-8.2,480
6,2.9,12.2,0.001,10.9,5.3,2.4,-7.2,16,41.6,12.2,4.6,-0.7,480
0.7,0.001,4.1,18,5.4,2.9,0.7,-0.3,71,93.3,12.3,0.2,0.2,510
0.4,-6.8,5.7,0.001,6.7,3.8,1.9,-11.3,29,43.3,12.4,0.1,-5.8,510
5.4,-1,10.2,0.001,9.8,5.7,2.7,-9.9,16,34.3,12.4,1.9,-6.1,500
4.6,-1,11,0.001,9,6.1,1.9,-2.5,34,61.9,12.5,4.4,-5,500
8.4,-2.4,14.9,0.5,10.9,6,2.4,-4,14,49.1,12.5,4.6,-7.4,500
9.7,4.9,13.1,20,13.7,6,3.2,3.3,37,65.5,12.5,8.4,3.5,500
7.6,-1.4,13.4,3.5,10.8,6.2,2.6,-4,19,48.9,12.7,5.4,-5.2,500
0.7,-1.8,10.1,33.5,10.1,4.5,2.8,-2.5,59,79.6,12.7,2.2,-0.4,500
4.6,-4,11.2,0.001,14,6.5,3.4,-5.1,34,50.8,12.7,3.4,-2.1,500
3.4,0.4,7.7,0.001,10,5.8,2.7,-8,27,43.6,12.8,3.6,-2.6,500
1.1,-2.1,6.3,0.001,13.7,7,2.6,-8.2,18,53.9,12.8,2.9,-5.6,500
13.6,8.7,20,0.001,14.7,6.7,2.4,-1,17,40.9,12.9,13.5,3.1,500
11.5,5.8,19.2,1.5,14.2,6.5,2.3,3.8,21,62.4,13,9.7,1.3,500
8.5,2.8,13.4,0.001,10.7,5.8,2.5,-3,25,48.9,13,9.4,-1.6,500
8.3,4.1,12.2,0.001,5.2,3.9,1.4,0.9,45,60.1,13.1,9.4,1.8,500
9.6,2.6,17,0.001,8.5,5.8,2.4,0.2,24,56.4,13.2,13,-1,500
8,0.3,15.9,0.001,5.6,3.8,1.3,-0.5,29,59.5,13.2,12.7,-3.7,500
9.9,1.1,18.6,0.001,5,3.5,1,1.3,30,58.9,13.3,12.5,-2.7,500
8.9,2.2,16.8,0.001,6.8,4.8,1.9,2.8,36,68.5,13.3,12.6,-1.9,470
8.3,5.4,14.7,0.1,7.3,5.3,2.1,4.8,54,79.1,13.3,13.6,3.2,470
14,8.3,19.6,0.001,11.9,5.5,2.8,7.1,36,64.8,13.5,14.3,6.9,470
19,11.2,27.2,0.001,6,3.8,1.5,3.3,17,39.6,13.5,18.4,7.1,470
13.8,10.2,19.6,8,12.4,7.1,2.2,6.3,31,65.4,13.5,11.9,6.9,490
10.6,7.3,14.8,0.001,11.2,5.6,3,0.3,27,51.6,13.6,15.3,3.7,500
13.5,3.6,20,0.001,9.4,6.1,2.6,-4.8,13,30.9,13.6,15.5,0.1,500
15.8,8.6,22.1,0.001,11.3,7.5,2.4,6.3,35,55.9,13.7,20,4.6,480
12.2,11,14.4,0.4,6.9,4.1,2.1,10.6,80,89.9,13.8,14.6,11.2,480
11.5,10,15,6.5,8.7,5,2.5,9.6,70,89,13.8,13.9,10.4,490
17.9,8.4,25.2,0.001,9.6,6.4,2.1,7.1,28,54.1,13.8,21,4.8,520
16,6.8,23.5,0.001,7.5,4.6,1.5,-0.4,18,35.5,13.9,20.4,1.6,520
14.8,8.9,21.8,0.001,6.1,4.7,1.5,4.2,28,51.4,14,17.1,5,550
12.9,6.6,22.3,0.001,8.1,6,1.9,7.4,34,72.4,14,20.5,3.2,570
7.6,7,9.5,0.4,5.8,4.3,2.3,6.7,88,94.1,14,12,7.7,620
7.4,6.6,9.9,0.5,4.5,3.3,1.8,5.8,77,89.8,14.1,11.7,7.1,620
12.5,9.9,16,17.5,4.2,2.9,0.7,10.4,68,88.3,14.1,13.1,6.8,620
15.3,12.3,19.7,0.001,7.7,4.2,1.8,6.7,33,60.1,14.2,20,9.9,620
15.1,11.1,21.1,0.5,10.8,4.3,2.2,1.9,21,43.4,14.2,20.5,6.8,620
10.5,5.5,17.2,2.5,10.5,6.7,1.7,5.6,44,73.4,14.2,12.6,2.4,610
13.7,3.3,22.2,0.001,6,3.8,1.2,3.7,25,57.3,14.3,20.5,-0.3,610
13.8,6,22,0.001,6.4,4.5,1.6,6.6,32,65.9,14.3,21.9,2.8,605
15.8,6.4,24.9,0.001,5.9,4.4,1.1,5.6,28,56,14.3,24.1,3.6,585
17.7,9.7,25.1,0.001,7.2,4.8,1.5,6,26,50.5,14.4,22.4,6.8,530
