-6.2,-12.4,-0.8,0.001,7.4,4.6,2.4,-18.1,23,40.5,9.7,-8,-13.2,574
-2.6,-7.2,0.9,0.001,9.3,4.9,2.1,-9.5,36,59.4,9.7,-5,-10.1,574
-2.3,-10.2,5.5,0.001,6.9,4.5,1.3,-14.2,15,47.1,9.7,-5.6,-12.8,556
0.5,-5.9,8.9,0.001,8,3.9,1.2,-10.6,10,48.1,9.7,-3.5,-9.3,480
-0.2,-2.3,2.2,0.001,9.2,4.6,2,-12.9,22,38.9,9.8,-2.9,-7.5,475
-0.8,-3.9,4.6,0.001,6.9,5,1.4,-11.3,21,47.8,9.8,-2.7,-8.1,475
-1,-5.7,5.5,0.001,6.5,3.7,0.9,-10.8,22,50.9,9.8,-3.3,-9.6,460
-1.6,-2.5,-0.4,21.6,5.8,3.4,0.9,-5,42,79.8,9.8,-2.3,-6.8,460
-6,-11.1,-0.1,2.5,4.8,3.4,0.8,-7.8,74,87,9.9,-1.2,-11.1,473
-7.1,-14.6,0.4,0.001,6.7,4,1,-14.1,24,62.8,9.9,-6.6,-15.5,456
-9.4,-14.1,-3.5,0.001,6.7,3.7,1.4,-21.7,13,40.3,9.9,-9.5,-15.4,446
-11.1,-20,-2.5,0.001,4.7,3.3,0.7,-18.6,16,59.5,9.9,-9.8,-19.9,446
-9,-15.3,-0.9,0.001,5.4,3.1,0.7,-18.1,12,56.4,10,-8.8,-16.8,463
-3.7,-4.1,-2.1,12,9.3,5.2,2.5,-5.3,83,88.4,10,-1.5,-4.5,465
-1.8,-3.9,0.3,2.5,4.1,2.8,0.8,-3.2,83,90.1,10.1,-1.3,-4.4,465
-3.7,-10.8,0.4,4.3,8.5,4.3,1.6,-9.5,35,66.3,10.1,-2.6,-11.4,471
-10.8,-15.9,-5.1,0.001,8.5,4.3,1.8,-20,20,48.1,10.1,-10.8,-16.5,478
-10.4,-18.9,-0.9,0.001,6.1,4.3,0.9,-14.7,41,72.4,10.1,-10.4,-19.5,465
-2.7,-7.7,2.5,0.001,4.5,2.8,1,-11.2,24,56,10.2,-3.4,-10.2,456
