일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),월합강수량(00~24h만)(mm),일최다강수량(mm),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),일조율,평균 최저초상온도(°C),최저초상온도(°C),평균지면온도(°C),배추가격
13-Apr,10.8,16.9,4.5,22.8,-1.6,3.8,67,11,63.1,33,2.7,7.5,15.8,49.26,0.9,-6.2,14.5,1124
13-May,17.6,24.2,11.6,31.7,4.2,11.8,74,14,145.8,86,2.3,8.3,12.6,52.39,8.3,-0.7,22.5,694
13-Jun,22.4,27.3,18.7,31,13.2,18.8,83,33,74.8,37.5,2,7.1,12,32.44,16.8,9.9,26.9,529
13-Jul,26.6,30.2,23.9,33.7,22,23.9,86,50,212.2,80,2.7,6.5,10.6,24.63,22.6,20.2,30.3,629
13-Aug,27.7,33.3,23.5,36.9,18.5,21.4,71,25,187.1,90,1.8,6.6,11.5,55.5,22.1,17,33.7,1342
13-Sep,22,28,17.1,31.7,9,13.9,64,17,109.6,70.5,1.7,5.7,10.7,48.6,15.3,6.3,24.7,1251
13-Oct,16.5,22.2,10.3,28.5,1.9,10.3,70,17,10.1,6.5,2,7.6,12.5,57.25,7.4,-1.5,18.5,564
13-Nov,8.8,14.5,3.3,24.2,-2.7,3.5,72,19,88.5,27,1.9,7.2,13.1,46.33,0.2,-4.4,10.1,559
13-Dec,3.1,8.1,-1.8,16.4,-7.7,-2.2,70,33,15.1,5,1.8,6.4,12.7,46.5,-5.3,-9.7,3.7,502
14-Jan,1.7,7.9,-4.8,14.5,-10,-4.8,65,15,20.2,11.5,1.9,6.2,11.8,62.68,-8.8,-13.8,2.5,462
14-Feb,3.7,9.2,-1.8,20.3,-7.5,-2.6,66,20,22.6,6.5,2,7.1,15.6,42.34,-5.1,-11.1,5,407
14-Mar,7.7,13.2,1.7,22,-7.2,1.7,70,10,85.3,32,2.2,6.8,16.1,48.13,-1.9,-11.3,9.3,360
14-Apr,13.2,19.2,7.1,25.8,1.1,5.4,64,13,75.1,32,2.3,8.3,12.5,49.02,3.8,-2.5,17,356
14-May,17.6,23.6,11.5,30.4,3.7,10.5,68,12,102.5,40,2.3,9.4,16.2,64.08,8.7,0.9,23,337
14-Jun,21.8,26.1,18.5,30,16,17.3,77,40,67.2,26.7,2.1,10.6,16,27.93,16,11.2,26.6,391
14-Jul,24.7,28.3,21.9,33.6,18.8,21.3,83,34,116.5,31.5,2.3,9,14.8,27.93,20.4,16.1,28.4,601
14-Aug,24.3,28.1,21.7,32.2,18.3,21.3,84,48,347.2,150.5,2.2,14.1,22.8,22.69,20.9,16.8,27.4,768
14-Sep,21.6,27.1,16.7,30.3,12.3,17.2,78,36,96.5,51,1.9,6.5,9.8,45.99,15.3,11,24.6,804
14-Oct,16,22.7,8.8,26.7,1.6,11.2,76,15,91,33,1.8,6.7,13.6,63.57,7.2,-1,17.6,497
14-Nov,10.3,16.1,4.9,19.8,-2.3,5.9,76,22,84.5,49.5,1.7,6.3,13.4,49.58,2.1,-6.2,9.9,417
14-Dec,2.3,7,-2.2,12.5,-13,-1.9,76,20,64.5,19.5,2.1,7.2,15.6,42.84,-4.1,-10.7,2.7,384
15-Jan,2.8,7.4,-1.8,14.6,-5.8,-2.5,72,29,31.3,11,2.2,6.7,12.7,51.91,-5.4,-10.6,2.3,380
15-Feb,3.4,8,-1.6,12.5,-7.4,-1.9,70,26,22,10.5,2.3,6.9,17,42.59,-4.9,-11.1,3.7,415
15-Mar,7.2,14,0.4,23.4,-5.4,-0.2,64,11,29.5,26.5,2.1,6.3,14.5,57.4,-3.1,-10.6,9.1,485
15-Apr,12.9,18.8,7.6,25.2,2.1,7.9,77,13,173.1,53.5,2.5,10.3,16.3,39.98,5,-1.4,15.2,499
15-May,18.1,24.5,12.5,30.4,4.7,11.6,70,16,95.4,41.5,2.2,9.1,12.2,59.57,10.1,1.9,22.2,898
15-Jun,21.4,25.8,17.9,30.1,11.4,17.6,82,15,165.1,44.5,2.2,9.6,13,30.88,15.5,8.5,25.5,747
15-Jul,24.3,28,21.1,32.2,14.5,22.3,90,46,224.3,137.2,2.3,12.8,21.2,33.28,19.6,12.3,26.5,645
15-Aug,25,29.5,21,34.1,16.7,22.6,88,50,155.7,105.3,1.4,8.2,14,45.87,19.7,15.6,30.3,667
15-Sep,20.4,26.8,15,30,11.6,17.3,84,26,67.9,29,1.5,7.1,11.4,56.05,13.5,9.5,25.6,611
15-Oct,15.1,22.5,8.7,26.4,3.1,11.1,80,23,63.3,42,1.6,10.5,17.6,65.1,5.9,-0.5,19,442
15-Nov,11.2,15.7,6.8,23.2,-0.4,8.6,86,37,77.4,16.1,1.9,9.4,16.7,27.68,4.2,-4,11.3,445
15-Dec,4.9,9.7,0,17.2,-6.3,1.2,78,26,52.8,31.5,1.9,9.6,16.8,43.19,-3.6,-11.7,4.8,433
16-Jan,0.4,4.8,-3.5,13.8,-9.8,-3.7,75,30,56.3,18.4,2.1,10.1,19.9,40.66,-6.1,-11.7,1,552
16-Feb,2.4,7.7,-2.9,16.9,-8,-2.8,71,13,24.1,13,2.4,10.2,20.4,56.65,-7,-13.4,3.4,823
16-Mar,6.6,13.3,-0.2,21.8,-8.1,1.6,74,12,93.7,36,2.1,8.5,13.8,59.3,-3.6,-12.7,8.6,1200
16-Apr,13.3,19.6,7.4,24.8,2.4,9.3,81,14,175.7,48.8,2.4,13.8,25.6,47.17,5.4,-0.8,15,1508
16-May,17.8,24.1,11.8,29.5,6.2,13.3,78,20,111.6,27.4,2.3,11.7,17.8,51.82,8.8,2.6,20.4,1143
16-Jun,21.8,26.2,18.4,29.3,12,18.1,81,34,103.5,54.3,2,7.6,12.5,31.45,16.6,8.4,25.6,625
16-Jul,25.9,29.9,22.7,34.6,18.5,22,80,47,205.4,84.7,2.5,11.9,21.3,47.03,22.4,18.6,30.7,750
16-Aug,27.2,33.4,22.3,37.1,16.9,21.7,74,26,25.1,18.2,2,11.4,17.4,67.69,22.5,16.6,36.6,1524
16-Sep,22.2,27.5,17.9,31,13.2,18.1,79,35,194,93.6,1.5,7.2,12.5,35.21,17.4,12.8,27.6,2104
16-Oct,16.8,21.5,12.5,29.6,2.8,12,76,10,228.6,92.2,2.4,14.5,25,28.12,11,0.1,19.1,1063
16-Nov,8.7,14.5,3.4,21.3,-3,3,70,7,84.5,24.8,2.1,8.9,14.6,53.23,1,-6.1,10.9,847
16-Dec,4.4,9.9,-0.7,19.1,-6.6,-1.1,70,21,57.7,21.5,2.1,9.8,16.8,47.72,-3.8,-10.7,5.9,930
