일자,평균기온,최저기온,최고기온,일강수량,최대순간풍속,최대풍속,평균풍속,평균이슬점온도,최소상대습도,평균상대습도,가조시간,합계일조시간,평균지면온도,최저초상온도,배추평균가격
2017-04-24,13.4,1.5,22.5,0.001,8.5,5.6,2.1,4.9,15,61.8,13.4,11.9,19.2,0.1,740
2017-04-25,16.5,8,22.6,0.001,6.7,4.7,1.6,10.9,34,72,13.4,4.8,19.7,6.5,710
2017-04-26,14.8,8.6,20.4,0.4,11.6,7,1.9,5.2,24,57.9,13.4,6.6,20,4.4,700
2017-04-27,11.5,3.8,18.9,0.001,15,7.3,2.6,0.2,19,50.4,13.5,9.5,18,1,700
2017-04-28,12.7,1.8,22.9,0.001,7.8,4.9,1.6,4.1,24,61.8,13.5,12.3,19.7,0.1,680
2017-05-02,17.3,10,24.2,0.001,9.9,6.6,2.5,3.3,16,43.4,13.6,8.6,20.6,7.4,535
2017-05-04,18.3,9.6,25.2,2.6,8.5,6.1,2.4,11.1,40,66.3,13.7,8.8,23.8,7.1,550
2017-05-08,16,6.4,25.5,0.001,5.1,3.5,1.1,6.9,18,59.9,13.8,4.2,20,5.7,565
2017-05-10,14.6,10.3,19.1,0.4,9.3,6.2,2.4,11.5,59,83,13.8,3.6,16.9,9,565
2017-05-11,20.3,9.8,27.8,0.001,6.4,4.9,2,14.5,42,71.3,13.9,9.6,24.4,9,400
2017-05-12,18.2,12.4,22.2,0.001,11.9,8.9,1.7,15,61,82.3,13.9,0.001,19.7,9.5,400
2017-05-15,14.4,6.8,21.8,0.001,9.2,5.5,1.9,6.1,21,64.6,14,5.8,20.1,3.2,370
2017-05-16,15.5,9.1,23.5,0.001,8.9,5.8,1.6,8.5,31,67.8,14,6.6,23.2,6.3,380
2017-05-17,16.6,8.2,25.7,0.001,8.8,6.3,1.8,9,32,65.5,14,11.7,25.2,4.9,380
2017-05-18,18.3,8.6,28.2,0.001,7.7,5.2,1.6,8.7,23,60.4,14,13,26.3,5,370
2017-05-19,18.6,9.4,28.8,0.001,7,5.2,1.7,7.2,20,55.3,14.1,12.9,26.8,6.2,390
2017-05-22,20.1,12.4,28.2,0.001,6.8,4.8,1.7,12.5,35,66.5,14.1,11.8,26.1,9.3,430
2017-05-23,19.9,12.4,26.7,0.001,5.2,3.7,1.2,14.8,46,75,14.2,4.1,25.5,8.8,430
2017-05-24,20.5,15.4,26.8,0.001,8.6,5.2,1.5,15.6,42,76,14.2,6.9,28.7,11.6,430
2017-05-25,19.1,12.1,28.3,0.001,10.3,6.4,2.4,9.8,18,61.5,14.2,12.3,29,7.4,430
2017-05-26,16.3,10.7,21.6,0.001,14.6,8.3,3.2,4.8,27,50,14.2,13.5,25.8,7.1,430
2017-05-29,21.3,12.6,29.6,0.001,7.6,5,1.5,12.3,29,62,14.3,12.7,30.3,8.8,350
2017-05-30,21.6,13.5,31.8,0.001,6.7,5.1,1.4,11.6,21,59.6,14.3,8.3,29.3,9.9,390
2017-05-31,21.9,17,26.2,0.001,6.6,4.3,1.6,18,60,79.9,14.3,0.3,24.9,15.2,370
2017-06-01,20.8,14.9,26.9,0.001,12.7,6.5,2.6,16.7,53,78.8,14.3,5.9,28.1,10.6,360
2017-06-02,18.7,11.2,26.4,0.001,11.4,6.5,2.3,7.9,17,55.9,14.3,13.3,27.4,5.2,390
2017-06-05,20.9,12.5,30.4,0.001,8.8,6.7,2.4,9.7,19,54.8,14.4,9.8,29,8.9,430
2017-06-07,18.1,16.1,20.2,2.3,9,5.3,3,15.7,75,86.3,14.4,0.001,19.1,14.1,520
2017-06-08,19.6,15.4,25.4,0.001,8.9,5.3,2.5,13.8,41,71.9,14.4,9.9,24.6,10.9,520
2017-06-09,20.7,14.8,27.6,0.001,7.4,5.5,1.7,14.8,37,72.1,14.4,10.3,26.7,10.7,530
2017-06-12,19.1,16.1,23.5,0.001,10.3,6.7,3.3,10.7,37,59.4,14.5,4.2,22,13.5,470
2017-06-13,20,15.4,26.9,0.001,7.3,5,1.9,12.1,37,62.3,14.5,10.7,27,11,450
2017-06-14,20,12.6,27.3,0.001,10.9,5.8,2.3,13.3,38,69.6,14.5,13.3,28.6,7.8,450
2017-06-15,21.5,15.2,28.6,0.001,11,5.8,2.6,12.9,21,64.4,14.5,12.8,29.5,12.3,440
2017-06-16,21.8,14.8,29.4,0.001,7.2,4.5,1.8,15.4,37,70.3,14.5,12.2,30.6,10.7,430
2017-06-19,23.3,15.5,32.2,0.001,6.9,5.3,1.5,14.5,29,62.9,14.5,11.3,31.5,11.8,470
2017-06-20,21.8,18.9,25.3,2,10.1,6.6,3.2,17.8,68,78.4,14.5,0.001,22.8,16.1,470
2017-06-21,22.5,18.2,27.9,0.001,6.8,4.4,1.8,18.3,54,79.1,14.5,2.9,26.2,15.8,470
2017-06-22,23.8,18.6,30.5,0.001,7.4,5.1,1.7,18.6,46,75.3,14.5,9.8,32.4,14.8,530
2017-06-23,23.7,18.4,31.3,0.001,7.4,5.3,1.4,18.1,44,73.9,14.5,6.5,30,15,580
2017-06-26,23.6,21.4,26.9,1.8,8.9,5.8,2.6,20.1,64,81.8,14.5,0.9,30.8,20,550
2017-06-27,23.3,20.6,27.8,0.001,8.3,5.6,2.9,19.2,58,79.4,14.5,3.4,29.7,17.7,560
2017-06-28,24,19.3,29.8,0.001,7.7,5.9,1.4,19.4,53,77.8,14.5,4.8,32.1,15.9,560
2017-06-29,22.3,20.5,25.1,4.9,7.2,5,1.8,20,66,87.3,14.5,0.3,23.9,18,560
2017-06-30,24.8,21.6,28.5,0.9,4.7,3.6,1.2,21.6,63,82.9,14.5,0.2,25.9,20.9,540
